[13:34:58] ============================================================
[13:34:58] [REALTIME MONITOR] Started - 10s interval
[13:34:58] ============================================================
[13:34:59] Price: $1960.00 | Vol: 1150 | Change: +0.02% | Status: Normal
[13:43:12] Price: $1960.28 | Vol: 69 | Change: -0.02% | Status: Normal
[13:43:22] Price: $1960.01 | Vol: 171 | Change: -0.03% | Status: Normal
[13:43:32] Price: $1959.85 | Vol: 238 | Change: -0.04% | Status: Normal
[13:43:42] Price: $1959.85 | Vol: 256 | Change: -0.04% | Status: Normal
[13:43:52] Price: $1960.00 | Vol: 311 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[13:44:02] Price: $1959.74 | Vol: 338 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[13:44:12] Price: $1959.52 | Vol: 68 | Change: -0.01% | Status: Normal
[13:44:22] Price: $1959.53 | Vol: 72 | Change: -0.01% | Status: Normal
[13:44:32] Price: $1959.53 | Vol: 113 | Change: -0.01% | Status: Normal
[13:44:42] Price: $1959.61 | Vol: 128 | Change: -0.01% | Status: Normal
[13:44:52] Price: $1959.61 | Vol: 131 | Change: -0.01% | Status: Normal
[13:45:03] Price: $1959.76 | Vol: 42 | Change: +0.02% | Status: Normal
[13:45:13] Price: $1959.41 | Vol: 103 | Change: +0.00% | Status: Normal
[13:45:23] Price: $1959.17 | Vol: 350 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[13:45:33] Price: $1959.18 | Vol: 371 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[13:45:43] Price: $1959.14 | Vol: 613 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[13:45:53] Price: $1959.34 | Vol: 718 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[13:46:03] Price: $1959.53 | Vol: 1127 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[13:46:13] Price: $1959.20 | Vol: 106 | Change: -0.02% | Status: Normal
[13:46:23] Price: $1959.15 | Vol: 116 | Change: -0.02% | Status: Normal
[13:46:33] Price: $1959.36 | Vol: 147 | Change: -0.01% | Status: Normal
[13:46:43] Price: $1959.37 | Vol: 158 | Change: -0.01% | Status: Normal
[13:46:53] Price: $1959.14 | Vol: 219 | Change: -0.02% | Status: Normal
[13:47:03] Price: $1959.01 | Vol: 235 | Change: -0.03% | Status: Normal
[13:47:14] Price: $1958.99 | Vol: 274 | Change: -0.00% | Status: Normal
[13:47:24] Price: $1958.95 | Vol: 303 | Change: -0.00% | Status: Normal
[13:47:34] Price: $1959.01 | Vol: 391 | Change: +0.00% | Status: Normal
[13:47:44] Price: $1959.01 | Vol: 393 | Change: +0.00% | Status: Normal
[13:47:54] Price: $1959.01 | Vol: 397 | Change: +0.00% | Status: Normal
[13:48:04] Price: $1959.14 | Vol: 449 | Change: +0.01% | Status: Normal
[13:48:14] Price: $1959.39 | Vol: 91 | Change: +0.01% | Status: Normal
[13:48:24] Price: $1959.38 | Vol: 97 | Change: +0.01% | Status: Normal
[13:48:34] Price: $1959.40 | Vol: 107 | Change: +0.01% | Status: Normal
[13:48:44] Price: $1959.53 | Vol: 336 | Change: +0.02% | Status: Normal
[13:48:54] Price: $1959.29 | Vol: 353 | Change: +0.01% | Status: Normal
[13:49:04] Price: $1959.27 | Vol: 3 | Change: +0.00% | Status: Normal
[13:49:14] Price: $1959.02 | Vol: 13 | Change: -0.01% | Status: Normal
[13:49:24] Price: $1959.01 | Vol: 24 | Change: -0.01% | Status: Normal
[13:49:34] Price: $1958.74 | Vol: 419 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[13:49:44] Price: $1958.74 | Vol: 434 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[13:49:54] Price: $1958.74 | Vol: 452 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[13:50:04] Price: $1958.74 | Vol: 1 | Change: -0.00% | Status: Normal
[13:50:14] Price: $1958.75 | Vol: 8 | Change: +0.00% | Status: Normal
[13:50:25] Price: $1958.70 | Vol: 28 | Change: -0.00% | Status: Normal
[13:50:35] Price: $1958.37 | Vol: 96 | Change: -0.02% | Status: Normal
[13:50:45] Price: $1958.69 | Vol: 247 | Change: -0.00% | Status: Normal
[13:50:55] Price: $1958.61 | Vol: 261 | Change: -0.01% | Status: Normal
[13:51:05] Price: $1958.61 | Vol: 267 | Change: -0.01% | Status: Normal
[13:51:15] Price: $1958.69 | Vol: 94 | Change: +0.00% | Status: Normal
[13:51:25] Price: $1958.70 | Vol: 98 | Change: +0.00% | Status: Normal
[13:51:35] Price: $1958.98 | Vol: 183 | Change: +0.02% | Status: Normal
[13:51:45] Price: $1958.97 | Vol: 213 | Change: +0.02% | Status: Normal
[13:51:55] Price: $1958.97 | Vol: 225 | Change: +0.02% | Status: Normal
[13:52:05] Price: $1958.98 | Vol: 234 | Change: +0.02% | Status: Normal
[13:52:15] Price: $1958.48 | Vol: 49 | Change: -0.03% | Status: Normal
[13:52:25] Price: $1958.55 | Vol: 208 | Change: -0.02% | Status: Normal
[13:52:35] Price: $1958.46 | Vol: 286 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[13:52:45] Price: $1958.46 | Vol: 291 | Change: -0.03% | Status: Normal
[13:52:55] Price: $1958.46 | Vol: 295 | Change: -0.03% | Status: Normal
[13:53:05] Price: $1958.46 | Vol: 3 | Change: +0.00% | Status: Normal
[13:53:15] Price: $1959.66 | Vol: 859 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:53:25] Price: $1959.79 | Vol: 1156 | Change: +0.07% | Status: 🚨 SPIKE DETECTED
[13:53:35] Price: $1959.62 | Vol: 1176 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:53:46] Price: $1959.62 | Vol: 1274 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:53:56] Price: $1959.63 | Vol: 1312 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:54:06] Price: $1959.53 | Vol: 0 | Change: +0.00% | Status: Normal
[13:54:16] Price: $1959.01 | Vol: 79 | Change: -0.03% | Status: Normal
[13:54:26] Price: $1959.01 | Vol: 155 | Change: -0.03% | Status: Normal
[13:54:36] Price: $1959.01 | Vol: 156 | Change: -0.03% | Status: Normal
[13:54:46] Price: $1959.01 | Vol: 171 | Change: -0.03% | Status: Normal
[13:54:56] Price: $1959.10 | Vol: 314 | Change: -0.02% | Status: Normal
[13:55:06] Price: $1959.09 | Vol: 2 | Change: +0.00% | Status: Normal
[13:55:16] Price: $1959.32 | Vol: 62 | Change: +0.01% | Status: Normal
[13:55:26] Price: $1959.47 | Vol: 76 | Change: +0.02% | Status: Normal
[13:55:36] Price: $1960.18 | Vol: 238 | Change: +0.06% | Status: Normal
[13:55:46] Price: $1960.48 | Vol: 352 | Change: +0.07% | Status: Normal
[13:55:56] Price: $1961.04 | Vol: 520 | Change: +0.10% | Status: 🚨 SPIKE DETECTED
[13:56:06] Price: $1961.23 | Vol: 647 | Change: +0.11% | Status: 🚨 SPIKE DETECTED
[13:56:16] Price: $1961.12 | Vol: 150 | Change: -0.01% | Status: Normal
[13:56:26] Price: $1961.56 | Vol: 363 | Change: +0.02% | Status: Normal
[13:56:36] Price: $1961.17 | Vol: 429 | Change: -0.00% | Status: Normal
[13:56:46] Price: $1961.96 | Vol: 1380 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[13:56:56] Price: $1961.76 | Vol: 1511 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[13:57:07] Price: $1961.87 | Vol: 43 | Change: -0.00% | Status: Normal
[13:57:17] Price: $1961.49 | Vol: 143 | Change: -0.02% | Status: Normal
[13:57:27] Price: $1961.57 | Vol: 167 | Change: -0.02% | Status: Normal
[13:57:37] Price: $1961.55 | Vol: 242 | Change: -0.02% | Status: Normal
[13:57:47] Price: $1961.57 | Vol: 257 | Change: -0.02% | Status: Normal
[13:57:57] Price: $1962.00 | Vol: 342 | Change: +0.01% | Status: Normal
[13:58:07] Price: $1962.42 | Vol: 64 | Change: -0.01% | Status: Normal
[13:58:17] Price: $1962.02 | Vol: 202 | Change: -0.03% | Status: Normal
[13:58:27] Price: $1961.85 | Vol: 227 | Change: -0.04% | Status: Normal
[13:58:37] Price: $1962.07 | Vol: 357 | Change: -0.03% | Status: Normal
[13:58:47] Price: $1962.07 | Vol: 426 | Change: -0.03% | Status: Normal
[13:58:57] Price: $1961.68 | Vol: 511 | Change: -0.05% | Status: Normal
[13:59:07] Price: $1961.69 | Vol: 66 | Change: -0.00% | Status: Normal
[13:59:17] Price: $1961.54 | Vol: 107 | Change: -0.01% | Status: Normal
[13:59:27] Price: $1961.51 | Vol: 178 | Change: -0.01% | Status: Normal
[13:59:37] Price: $1961.58 | Vol: 304 | Change: -0.01% | Status: Normal
[13:59:47] Price: $1961.55 | Vol: 407 | Change: -0.01% | Status: Normal
[13:59:57] Price: $1961.55 | Vol: 412 | Change: -0.01% | Status: Normal
[14:00:07] Price: $1961.56 | Vol: 27 | Change: +0.00% | Status: Normal
[14:00:17] Price: $1961.31 | Vol: 157 | Change: -0.01% | Status: Normal
[14:00:28] Price: $1961.19 | Vol: 483 | Change: -0.02% | Status: 🚨 SPIKE DETECTED
[14:00:38] Price: $1961.86 | Vol: 739 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:00:48] Price: $1961.98 | Vol: 1000 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:00:58] Price: $1962.08 | Vol: 1181 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:01:08] Price: $1962.37 | Vol: 66 | Change: +0.03% | Status: Normal
[14:01:18] Price: $1962.49 | Vol: 136 | Change: +0.03% | Status: Normal
[14:01:28] Price: $1962.59 | Vol: 297 | Change: +0.04% | Status: Normal
[14:01:38] Price: $1962.43 | Vol: 392 | Change: +0.03% | Status: Normal
[14:01:48] Price: $1962.54 | Vol: 610 | Change: +0.04% | Status: 🚨 SPIKE DETECTED
[14:01:58] Price: $1962.32 | Vol: 668 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:02:08] Price: $1962.27 | Vol: 10 | Change: -0.00% | Status: Normal
[14:02:18] Price: $1962.00 | Vol: 68 | Change: -0.02% | Status: Normal
[14:02:28] Price: $1962.00 | Vol: 92 | Change: -0.02% | Status: Normal
[14:02:38] Price: $1962.00 | Vol: 134 | Change: -0.02% | Status: Normal
[14:02:48] Price: $1961.98 | Vol: 169 | Change: -0.02% | Status: Normal
[14:02:58] Price: $1961.96 | Vol: 287 | Change: -0.02% | Status: Normal
[14:03:08] Price: $1962.08 | Vol: 56 | Change: +0.01% | Status: Normal
[14:03:18] Price: $1962.23 | Vol: 109 | Change: +0.01% | Status: Normal
[14:03:28] Price: $1962.23 | Vol: 113 | Change: +0.01% | Status: Normal
[14:03:39] Price: $1962.24 | Vol: 133 | Change: +0.01% | Status: Normal
[14:03:49] Price: $1962.24 | Vol: 174 | Change: +0.01% | Status: Normal
[14:03:59] Price: $1961.91 | Vol: 287 | Change: -0.00% | Status: Normal
[14:04:09] Price: $1961.74 | Vol: 96 | Change: +0.01% | Status: Normal
[14:04:19] Price: $1962.08 | Vol: 182 | Change: +0.03% | Status: Normal
[14:04:29] Price: $1962.08 | Vol: 206 | Change: +0.03% | Status: Normal
[14:04:39] Price: $1962.19 | Vol: 238 | Change: +0.03% | Status: Normal
[14:04:49] Price: $1962.26 | Vol: 266 | Change: +0.04% | Status: Normal
[14:04:59] Price: $1962.48 | Vol: 307 | Change: +0.05% | Status: Normal
[14:05:09] Price: $1962.44 | Vol: 49 | Change: +0.00% | Status: Normal
[14:05:19] Price: $1962.01 | Vol: 106 | Change: -0.02% | Status: Normal
[14:05:29] Price: $1961.53 | Vol: 555 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[14:05:39] Price: $1961.72 | Vol: 592 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:05:49] Price: $1961.79 | Vol: 664 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[14:05:59] Price: $1961.86 | Vol: 676 | Change: -0.03% | Status: 🚨 SPIKE DETECTED
[14:06:09] Price: $1961.61 | Vol: 118 | Change: -0.01% | Status: Normal
[14:06:19] Price: $1961.51 | Vol: 152 | Change: -0.02% | Status: Normal
[14:06:29] Price: $1961.69 | Vol: 208 | Change: -0.01% | Status: Normal
[14:06:39] Price: $1961.83 | Vol: 260 | Change: -0.00% | Status: Normal
[14:06:50] Price: $1961.84 | Vol: 267 | Change: -0.00% | Status: Normal
[14:07:00] Price: $1961.83 | Vol: 280 | Change: -0.00% | Status: Normal
[14:07:10] Price: $1961.74 | Vol: 25 | Change: +0.00% | Status: Normal
[14:07:20] Price: $1961.52 | Vol: 386 | Change: -0.01% | Status: Normal
[14:07:30] Price: $1961.00 | Vol: 1087 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:07:40] Price: $1961.00 | Vol: 1095 | Change: -0.04% | Status: 🚨 SPIKE DETECTED
[14:07:50] Price: $1960.79 | Vol: 1153 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[14:08:00] Price: $1960.69 | Vol: 1167 | Change: -0.05% | Status: 🚨 SPIKE DETECTED
[14:08:10] Price: $1961.14 | Vol: 115 | Change: +0.02% | Status: Normal
[14:08:20] Price: $1961.13 | Vol: 169 | Change: +0.02% | Status: Normal
[14:08:30] Price: $1961.20 | Vol: 234 | Change: +0.03% | Status: Normal
[14:08:40] Price: $1961.20 | Vol: 249 | Change: +0.03% | Status: Normal
[14:08:50] Price: $1961.20 | Vol: 263 | Change: +0.03% | Status: Normal
[14:09:00] Price: $1961.04 | Vol: 315 | Change: +0.02% | Status: Normal
[14:09:10] Price: $1961.05 | Vol: 3 | Change: +0.00% | Status: Normal
[14:09:20] Price: $1961.20 | Vol: 34 | Change: +0.01% | Status: Normal
[14:09:30] Price: $1961.29 | Vol: 101 | Change: +0.01% | Status: Normal
[14:09:40] Price: $1961.29 | Vol: 128 | Change: +0.01% | Status: Normal
[14:09:50] Price: $1961.30 | Vol: 131 | Change: +0.01% | Status: Normal
[14:10:00] Price: $1961.29 | Vol: 134 | Change: +0.01% | Status: Normal
[14:10:11] Price: $1961.08 | Vol: 61 | Change: -0.01% | Status: Normal
[14:10:21] Price: $1961.08 | Vol: 72 | Change: -0.01% | Status: Normal
[14:10:31] Price: $1960.77 | Vol: 123 | Change: -0.03% | Status: Normal
[14:10:41] Price: $1960.77 | Vol: 137 | Change: -0.03% | Status: Normal
[14:10:51] Price: $1960.78 | Vol: 139 | Change: -0.03% | Status: Normal
[14:11:01] Price: $1960.82 | Vol: 163 | Change: -0.02% | Status: Normal
[14:11:11] Price: $1960.81 | Vol: 19 | Change: +0.00% | Status: Normal
[14:11:21] Price: $1960.81 | Vol: 57 | Change: +0.00% | Status: Normal
[14:11:31] Price: $1960.69 | Vol: 165 | Change: -0.01% | Status: Normal
[14:11:41] Price: $1960.70 | Vol: 179 | Change: -0.01% | Status: Normal
[14:11:51] Price: $1960.78 | Vol: 237 | Change: -0.00% | Status: Normal
[14:12:01] Price: $1960.79 | Vol: 251 | Change: -0.00% | Status: Normal
[14:12:11] Price: $1960.78 | Vol: 4 | Change: +0.00% | Status: Normal
[14:12:21] Price: $1960.71 | Vol: 29 | Change: -0.00% | Status: Normal
[14:12:31] Price: $1960.70 | Vol: 94 | Change: -0.00% | Status: Normal
[14:12:41] Price: $1960.56 | Vol: 152 | Change: -0.01% | Status: Normal
[14:12:51] Price: $1960.65 | Vol: 262 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:13:01] Price: $1960.70 | Vol: 281 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:13:11] Price: $1960.70 | Vol: 19 | Change: +0.00% | Status: Normal
[14:13:21] Price: $1960.60 | Vol: 37 | Change: -0.01% | Status: Normal
[14:13:32] Price: $1960.60 | Vol: 67 | Change: -0.01% | Status: Normal
[14:13:42] Price: $1960.60 | Vol: 89 | Change: -0.01% | Status: Normal
[14:13:52] Price: $1960.54 | Vol: 111 | Change: -0.01% | Status: Normal
[14:14:02] Price: $1960.54 | Vol: 131 | Change: -0.01% | Status: Normal
[14:14:12] Price: $1960.55 | Vol: 3 | Change: +0.00% | Status: Normal
[14:14:22] Price: $1960.54 | Vol: 20 | Change: -0.00% | Status: Normal
[14:14:32] Price: $1960.55 | Vol: 49 | Change: +0.00% | Status: Normal
[14:14:42] Price: $1960.69 | Vol: 120 | Change: +0.01% | Status: Normal
[14:14:52] Price: $1960.40 | Vol: 203 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:15:02] Price: $1960.39 | Vol: 214 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:15:12] Price: $1960.38 | Vol: 8 | Change: -0.00% | Status: Normal
[14:15:22] Price: $1960.69 | Vol: 152 | Change: +0.02% | Status: Normal
[14:15:32] Price: $1960.82 | Vol: 506 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:15:42] Price: $1960.88 | Vol: 565 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[14:15:52] Price: $1961.03 | Vol: 673 | Change: +0.03% | Status: 🚨 SPIKE DETECTED
[14:16:02] Price: $1961.29 | Vol: 721 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[14:16:12] Price: $1961.54 | Vol: 98 | Change: +0.01% | Status: Normal
[14:16:22] Price: $1961.61 | Vol: 175 | Change: +0.02% | Status: Normal
[14:16:32] Price: $1962.04 | Vol: 259 | Change: +0.04% | Status: Normal
[14:16:42] Price: $1962.23 | Vol: 293 | Change: +0.05% | Status: Normal
[14:16:52] Price: $1962.47 | Vol: 415 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[14:17:03] Price: $1962.46 | Vol: 421 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[14:17:13] Price: $1962.49 | Vol: 273 | Change: +0.00% | Status: Normal
[14:17:23] Price: $1962.31 | Vol: 500 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:17:33] Price: $1962.30 | Vol: 512 | Change: -0.01% | Status: 🚨 SPIKE DETECTED
[14:17:43] Price: $1962.42 | Vol: 623 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:17:53] Price: $1962.43 | Vol: 652 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:18:03] Price: $1961.89 | Vol: 33 | Change: -0.01% | Status: Normal
[14:18:13] Price: $1961.81 | Vol: 261 | Change: -0.02% | Status: Normal
[14:18:23] Price: $1961.80 | Vol: 278 | Change: -0.02% | Status: Normal
[14:18:33] Price: $1961.81 | Vol: 378 | Change: -0.02% | Status: Normal
[14:18:43] Price: $1961.69 | Vol: 391 | Change: -0.02% | Status: Normal
[14:18:53] Price: $1961.73 | Vol: 398 | Change: -0.02% | Status: Normal
[14:19:03] Price: $1961.73 | Vol: 451 | Change: -0.02% | Status: Normal
[14:19:13] Price: $1961.89 | Vol: 20 | Change: +0.01% | Status: Normal
[14:19:23] Price: $1961.89 | Vol: 29 | Change: +0.01% | Status: Normal
[14:19:33] Price: $1962.12 | Vol: 110 | Change: +0.02% | Status: Normal
[14:19:43] Price: $1962.05 | Vol: 122 | Change: +0.02% | Status: Normal
[14:19:53] Price: $1961.88 | Vol: 265 | Change: +0.01% | Status: Normal
[14:20:03] Price: $1961.89 | Vol: 277 | Change: +0.01% | Status: Normal
[14:20:13] Price: $1961.87 | Vol: 29 | Change: -0.00% | Status: Normal
[14:20:24] Price: $1961.87 | Vol: 40 | Change: -0.00% | Status: Normal
[14:20:34] Price: $1961.87 | Vol: 131 | Change: -0.00% | Status: Normal
[14:20:44] Price: $1961.63 | Vol: 208 | Change: -0.01% | Status: Normal
[14:20:54] Price: $1961.80 | Vol: 234 | Change: -0.00% | Status: Normal
[14:21:04] Price: $1961.74 | Vol: 0 | Change: +0.00% | Status: Normal
[14:21:14] Price: $1961.75 | Vol: 5 | Change: +0.00% | Status: Normal
[14:21:24] Price: $1961.84 | Vol: 34 | Change: +0.01% | Status: Normal
[14:21:34] Price: $1961.85 | Vol: 42 | Change: +0.01% | Status: Normal
[14:21:44] Price: $1961.84 | Vol: 45 | Change: +0.01% | Status: Normal
[14:21:54] Price: $1961.85 | Vol: 49 | Change: +0.01% | Status: Normal
[14:22:04] Price: $1961.43 | Vol: 134 | Change: -0.02% | Status: Normal
[14:22:14] Price: $1961.40 | Vol: 30 | Change: -0.00% | Status: Normal
[14:22:24] Price: $1961.44 | Vol: 50 | Change: +0.00% | Status: Normal
[14:22:34] Price: $1961.44 | Vol: 52 | Change: +0.00% | Status: Normal
[14:22:44] Price: $1961.99 | Vol: 89 | Change: +0.03% | Status: Normal
[14:22:54] Price: $1961.99 | Vol: 113 | Change: +0.03% | Status: Normal
[14:23:04] Price: $1961.99 | Vol: 114 | Change: +0.03% | Status: Normal
[14:23:14] Price: $1962.20 | Vol: 132 | Change: +0.01% | Status: Normal
[14:23:24] Price: $1962.19 | Vol: 171 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:23:34] Price: $1962.00 | Vol: 206 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[14:23:44] Price: $1962.01 | Vol: 239 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[14:23:55] Price: $1962.00 | Vol: 260 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[14:24:05] Price: $1962.01 | Vol: 263 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[14:24:15] Price: $1962.03 | Vol: 15 | Change: +0.00% | Status: Normal
[14:24:25] Price: $1962.19 | Vol: 37 | Change: +0.01% | Status: Normal
[14:24:35] Price: $1962.19 | Vol: 58 | Change: +0.01% | Status: Normal
[14:24:45] Price: $1962.19 | Vol: 59 | Change: +0.01% | Status: Normal
[14:24:55] Price: $1962.19 | Vol: 83 | Change: +0.01% | Status: Normal
[14:25:05] Price: $1962.19 | Vol: 117 | Change: +0.01% | Status: Normal
[14:25:15] Price: $1962.00 | Vol: 68 | Change: -0.01% | Status: Normal
[14:25:25] Price: $1961.47 | Vol: 144 | Change: -0.04% | Status: Normal
[14:25:35] Price: $1961.59 | Vol: 154 | Change: -0.03% | Status: Normal
[14:25:45] Price: $1961.60 | Vol: 164 | Change: -0.03% | Status: Normal
[14:25:55] Price: $1961.67 | Vol: 181 | Change: -0.03% | Status: Normal
[14:26:05] Price: $1961.43 | Vol: 20 | Change: -0.01% | Status: Normal
[14:26:15] Price: $1961.71 | Vol: 330 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[14:26:25] Price: $1961.60 | Vol: 440 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:26:35] Price: $1961.61 | Vol: 452 | Change: -0.00% | Status: 🚨 SPIKE DETECTED
[14:26:45] Price: $1961.81 | Vol: 501 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:26:55] Price: $1961.85 | Vol: 535 | Change: +0.01% | Status: 🚨 SPIKE DETECTED
[14:27:05] Price: $1961.91 | Vol: 8 | Change: +0.00% | Status: Normal
[14:27:16] Price: $1961.94 | Vol: 14 | Change: +0.01% | Status: Normal
[14:27:26] Price: $1961.93 | Vol: 26 | Change: +0.00% | Status: Normal
[14:27:36] Price: $1961.87 | Vol: 98 | Change: +0.00% | Status: Normal
[14:27:46] Price: $1961.87 | Vol: 105 | Change: +0.00% | Status: Normal
[14:27:56] Price: $1961.87 | Vol: 108 | Change: +0.00% | Status: Normal
[14:28:06] Price: $1961.98 | Vol: 122 | Change: +0.01% | Status: Normal
